"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","sndp","num_offences"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,25.5,17.4,8,999.9,-2.18714802581844
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,18.7,8.7,10,999.9,-1.10234800565061
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,30.7,9,10,999.9,-1.19445366774033
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,34.9,6.1,10,999.9,-0.457608371022557
"5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,46.2,7.6,10,999.9,-0.0175479854827754
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,40.6,7.6,10,999.9,-0.539480070657865
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,32.6,2.5,10,999.9,-1.18421970528592
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,34.3,6.8,8.6,999.9,-0.334800821569594
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,39.6,6.8,10,999.9,-0.171057422298978
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,39.2,2.8,10,999.9,-0.283631009297527
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,33.8,7.1,6.3,2,-1.74708764027866
"12",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,20.4,12.4,5.6,3.9,-1.67544990309777
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,17.7,5.9,8.5,3.9,-1.37866499191977
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,18.7,6,9.7,3.9,-1.47077065400949
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,34.9,11.5,10,1.2,-0.918136681471165
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,35.7,10.6,5.2,3.9,-0.733925357291722
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,18.5,9.3,9.8,999.9,-1.27632536737564
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,20.3,13.1,9.3,999.9,-1.71638575291542
"19",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,9.9,4.7,7.3,5.1,-2.36112538754347
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,20.4,5.7,8.4,5.1,-2.03363858900224
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,23.5,11,5.7,3.9,-2.39182727490671
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,38.5,13,5.4,3.1,-0.836264981835857
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,31.1,11.4,10,999.9,-0.181291384753392
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,29.5,2.7,7,999.9,0.473682212329073
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,34.2,3.2,4.1,999.9,0.0950256015157733
"26",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,37.2,7.1,7.7,999.9,0.176897301151081
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,32.4,12.3,7.7,1.2,-1.10234800565061
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,29.4,9.9,9.2,1.2,-1.05117819337854
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,31.9,9.1,10,999.9,-0.488310258385797
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,49.6,13.5,10,999.9,0.494150137237901
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,43.7,6.3,9.9,999.9,1.29239920868215
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,36.3,3.3,5.1,999.9,-0.355268746478421
"33",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,35.6,5,5.3,999.9,-0.191525347207805
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,37.8,9.3,7.7,999.9,-0.692989507474068
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,36.3,4.6,9.4,999.9,-1.75732160273307
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,31.9,7.8,6.5,999.9,-1.54240839119039
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,31.9,9.8,6.9,999.9,-0.590649882929932
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,30.6,8.4,10,999.9,-1.07164611828737
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,27.8,7.5,9.6,999.9,-0.887434794107924
"40",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,31.8,9.7,7.5,1.2,-1.44006876664625
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,14.6,16,9.2,1.2,-2.08480840127431
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,22,11,10,1.2,-2.02340462654782
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,26.8,6.6,10,1.2,-1.90059707709486
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,31.7,7.7,7.5,999.9,-1.44006876664625
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,37,8.4,8.7,999.9,0.125727488879014
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,40.3,7.9,5.7,999.9,-0.46784233347697
"47",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,37.4,7.1,10,999.9,0.719297311234998
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,36.7,8.2,10,999.9,-1.56287631609922
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,31.8,5.3,10,999.9,-1.33772914210212
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,31.6,5.8,10,999.9,-2.04387255145665
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,38.1,11.4,7.9,999.9,-0.672521582565241
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,38.4,6.5,9.7,999.9,-0.191525347207805
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,36,3.9,5.8,999.9,-1.01024234356089
"54",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,34.1,13,4.1,2,-1.34796310455653
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,25.2,12.8,9.9,1.2,-1.26609140492122
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,29.6,10.2,10,1.2,-1.9312989644581
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,36.9,11.3,10,1.2,-1.00000838110647
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,32.7,5.7,9.8,999.9,-0.232461197025459
"59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,47.6,12.9,6.9,999.9,-0.416672521204903
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,37.6,11,9.4,999.9,1.30263317113657
"61",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,38.1,7.9,8,999.9,-0.355268746478421
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,33.3,15.5,9.4,999.9,-1.38889895437419
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,30.2,7.6,9.6,999.9,-1.6242800908257
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2012,28.2,6.6,9.1,999.9,-1.5526423536448
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,43.8,15.2,10,999.9,0.228067113423149
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,60.2,22.2,10,999.9,0.350874662876111
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,50.1,17.6,9,999.9,0.0643237141525327
"68",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,36,12.1,10,999.9,0.432746362511419
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,38.4,12,10,999.9,-0.252929121934286
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,53.2,10,10,999.9,-1.13304989301385
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2012,59.2,13.8,8.5,999.9,-0.0380159103916024
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,58,6.9,10,999.9,0.1154935264246
