"","temp","wdsp","visib","num_offences"
"2",25.5,17.4,8,-2.18714802581844
"3",18.7,8.7,10,-1.10234800565061
"4",30.7,9,10,-1.19445366774033
"5",34.9,6.1,10,-0.457608371022557
"6",46.2,7.6,10,-0.0175479854827754
"7",40.6,7.6,10,-0.539480070657865
"8",32.6,2.5,10,-1.18421970528592
"9",34.3,6.8,8.6,-0.334800821569594
"10",39.6,6.8,10,-0.171057422298978
"11",39.2,2.8,10,-0.283631009297527
"12",33.8,7.1,6.3,-1.74708764027866
"13",20.4,12.4,5.6,-1.67544990309777
"14",17.7,5.9,8.5,-1.37866499191977
"15",18.7,6,9.7,-1.47077065400949
"16",34.9,11.5,10,-0.918136681471165
"17",35.7,10.6,5.2,-0.733925357291722
"18",18.5,9.3,9.8,-1.27632536737564
"19",20.3,13.1,9.3,-1.71638575291542
"20",9.9,4.7,7.3,-2.36112538754347
"21",20.4,5.7,8.4,-2.03363858900224
"22",23.5,11,5.7,-2.39182727490671
"23",38.5,13,5.4,-0.836264981835857
"24",31.1,11.4,10,-0.181291384753392
"25",29.5,2.7,7,0.473682212329073
"26",34.2,3.2,4.1,0.0950256015157733
"27",37.2,7.1,7.7,0.176897301151081
"28",32.4,12.3,7.7,-1.10234800565061
"29",29.4,9.9,9.2,-1.05117819337854
"30",31.9,9.1,10,-0.488310258385797
"31",49.6,13.5,10,0.494150137237901
"32",43.7,6.3,9.9,1.29239920868215
"33",36.3,3.3,5.1,-0.355268746478421
"34",35.6,5,5.3,-0.191525347207805
"35",37.8,9.3,7.7,-0.692989507474068
"36",36.3,4.6,9.4,-1.75732160273307
"37",31.9,7.8,6.5,-1.54240839119039
"38",31.9,9.8,6.9,-0.590649882929932
"39",30.6,8.4,10,-1.07164611828737
"40",27.8,7.5,9.6,-0.887434794107924
"41",31.8,9.7,7.5,-1.44006876664625
"42",14.6,16,9.2,-2.08480840127431
"43",22,11,10,-2.02340462654782
"44",26.8,6.6,10,-1.90059707709486
"45",31.7,7.7,7.5,-1.44006876664625
"46",37,8.4,8.7,0.125727488879014
"47",40.3,7.9,5.7,-0.46784233347697
"48",37.4,7.1,10,0.719297311234998
"49",36.7,8.2,10,-1.56287631609922
"50",31.8,5.3,10,-1.33772914210212
"51",31.6,5.8,10,-2.04387255145665
"52",38.1,11.4,7.9,-0.672521582565241
"53",38.4,6.5,9.7,-0.191525347207805
"54",36,3.9,5.8,-1.01024234356089
"55",34.1,13,4.1,-1.34796310455653
"56",25.2,12.8,9.9,-1.26609140492122
"57",29.6,10.2,10,-1.9312989644581
"58",36.9,11.3,10,-1.00000838110647
"59",32.7,5.7,9.8,-0.232461197025459
"60",47.6,12.9,6.9,-0.416672521204903
"61",37.6,11,9.4,1.30263317113657
"62",38.1,7.9,8,-0.355268746478421
"63",33.3,15.5,9.4,-1.38889895437419
"64",30.2,7.6,9.6,-1.6242800908257
"65",28.2,6.6,9.1,-1.5526423536448
"66",43.8,15.2,10,0.228067113423149
"67",60.2,22.2,10,0.350874662876111
"68",50.1,17.6,9,0.0643237141525327
"69",36,12.1,10,0.432746362511419
"70",38.4,12,10,-0.252929121934286
"71",53.2,10,10,-1.13304989301385
"72",59.2,13.8,8.5,-0.0380159103916024
"73",58,6.9,10,0.1154935264246
"74",62.6,8.8,10,0.146195413787841
"75",71.2,8.4,10,0.862572785596787
"76",60.4,5.2,9.4,0.422512400057006
"77",69.5,9.2,10,1.57895015740573
"78",69.5,8.2,10,0.0336218267892922
"79",69.2,8.4,9.9,0.647659574054103
"80",74.3,13.4,10,0.780701085961479
"81",73.8,8.7,10,1.64035393213221
"82",71.2,5,9.8,0.647659574054103
"83",62.8,5,6.3,0.616957686690863
"84",56.2,4.8,5.2,-0.109653647572497
"85",57.6,6.1,6.7,-0.314332896660767
"86",43.2,13.5,10,-0.866966869199097
"87",50.1,14.9,10,-0.488310258385797
"88",63.8,13.4,10,-0.048249872846016
"89",46.1,8.3,10,0.330406737967284
"90",45.4,8.1,8.4,0.25876900078639
"91",42.2,8.4,9.4,-0.385970633841662
"92",49.2,6.8,5.9,0.852338823142374
"93",51.9,10.9,8.6,-0.897668756562338
