day,year,mo,da,date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_offences,other_offense,criminal_trespass,burglary,weapons_violation,kidnapping,deceptive_practice,officer_interference,sex_offense,theft,robbery,assault,child_offense,criminal_damage,battery,narcotics,vehicle_theft,crim_sexual_assault,peace_violation,stalking,criminal_sexual_assault,liquor_violation,obscenity,gambling,prostitution,arson,homicide,intimidation,public_indecency,other_narcotics,cc_violation,human_trafficking,non_criminal1,non_criminal2,ritualism,non_criminal3,domestic_violence
7,2012,01,01,2012-01-01,38.1,30.7,1007.5,9.2,15.2,28.0,35.9,44.1,29.1,0.0,999.9,0,1544,90,15,39,45,0,153,2,59,335,42,48,113,158,264,77,45,46,6,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1,2012,01,02,2012-01-02,25.5,13.6,1020.9,8.0,17.4,22.0,29.9,32.0,19.4,0.04,999.9,0,702,56,16,42,6,0,30,3,2,135,34,38,1,79,112,92,44,0,3,3,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0
2,2012,01,03,2012-01-03,18.7,5.5,1028.9,10.0,8.7,15.9,24.1,28.9,12.9,0.01,999.9,0,808,47,14,69,8,1,48,2,2,169,29,45,6,81,115,100,49,5,3,1,0,2,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0
3,2012,01,04,2012-01-04,30.7,16.9,1016.3,10.0,9.0,17.1,22.0,41.0,12.9,0.0,999.9,0,799,51,22,59,9,0,39,1,3,175,33,32,4,93,106,95,61,2,2,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0
4,2012,01,05,2012-01-05,34.9,24.1,1014.8,10.0,6.1,9.9,999.9,48.9,23.0,0.0,999.9,0,871,59,19,58,9,0,35,5,3,193,51,42,5,80,138,98,60,1,2,0,0,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0
5,2012,01,06,2012-01-06,46.2,31.8,1006.0,10.0,7.6,12.0,17.1,54.0,39.0,0.0,999.9,0,914,51,19,61,13,1,39,2,3,200,33,48,9,109,120,118,56,0,8,1,0,3,0,2,14,2,1,1,0,0,0,0,0,0,0,0,0
6,2012,01,07,2012-01-07,40.6,27.8,1012.9,10.0,7.6,13.0,999.9,55.0,30.9,0.0,999.9,0,863,45,18,47,13,1,27,2,2,198,40,32,8,102,167,95,40,4,11,0,0,1,1,0,4,1,3,0,1,0,0,0,0,0,0,0,0
7,2012,01,08,2012-01-08,32.6,23.8,1025.7,10.0,2.5,7.0,999.9,44.1,25.0,0.0,999.9,0,800,41,24,42,13,1,23,2,0,171,34,47,7,108,133,94,42,5,5,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0
1,2012,01,09,2012-01-09,34.3,26.5,1021.7,8.6,6.8,17.1,27.0,46.0,25.0,0.0,999.9,0,883,59,27,75,6,2,35,1,4,204,36,31,2,78,139,112,54,1,5,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0
2,2012,01,10,2012-01-10,39.6,28.3,1015.6,10.0,6.8,14.0,21.0,52.0,25.0,0.0,999.9,0,899,49,25,74,8,1,38,4,6,179,37,53,5,89,130,124,51,3,10,0,0,2,0,1,8,0,2,0,0,0,0,0,0,0,0,0,0
