day,year,mo,da,date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_offences,other_offense,criminal_trespass,burglary,weapons_violation,kidnapping,deceptive_practice,officer_interference,sex_offense,theft,robbery,assault,child_offense,criminal_damage,battery,narcotics,vehicle_theft,crim_sexual_assault,peace_violation,stalking,criminal_sexual_assault,liquor_violation,obscenity,gambling,prostitution,arson,homicide,intimidation,public_indecency,other_narcotics,cc_violation,human_trafficking,non_criminal1,non_criminal2,ritualism,non_criminal3,domestic_violence
3,2014,01,01,2014-01-01,15.8,10.0,1025.5,3.1,8.4,15.0,20.0,21.9,1.9,0.3,5.1,0,1214,71,15,28,29,1,226,6,45,168,31,33,116,63,231,45,40,49,4,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,2014,01,02,2014-01-02,18.6,11.8,1023.4,2.7,11.8,15.9,19.0,21.9,10.0,0.29,9.1,0,485,28,23,19,8,0,36,5,0,101,29,24,7,50,79,53,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2014,01,03,2014-01-03,4.3,-5.7,1028.5,9.8,9.8,19.0,28.0,21.0,-11.9,0.18,7.9,0,562,43,11,33,3,0,38,4,2,129,27,24,6,41,86,81,26,1,2,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
6,2014,01,04,2014-01-04,23.7,13.2,1012.9,7.6,17.7,25.1,34.0,30.9,16.0,0.0,7.1,0,577,31,10,26,8,0,32,5,0,137,24,32,5,52,118,69,18,2,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2014,01,05,2014-01-05,20.9,15.2,1015.6,1.2,10.8,21.0,28.9,30.9,7.0,0.48,11.8,1,405,36,8,24,2,1,10,1,1,85,19,28,0,48,90,33,10,3,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,2014,01,06,2014-01-06,-7.7,-19.0,1021.0,8.9,17.8,22.0,31.1,7.0,-16.1,0.38,11.0,0,367,40,8,23,1,1,42,1,0,82,11,20,6,30,59,27,13,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2014,01,07,2014-01-07,-7.3,-18.3,1025.7,9.9,11.6,15.9,22.9,3.0,-16.1,0.0,9.8,0,467,47,12,23,3,1,34,3,0,103,21,20,5,45,72,54,19,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2014,01,08,2014-01-08,2.7,-6.9,1028.4,9.7,3.3,7.0,999.9,17.1,-11.9,0.0,9.1,1,599,53,23,41,3,1,40,2,0,133,21,30,2,53,88,83,14,2,2,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0
4,2014,01,09,2014-01-09,7.9,-0.6,1031.9,8.4,4.4,8.9,999.9,23.0,-6.0,0.0,9.1,0,614,37,11,32,5,1,42,1,3,135,30,25,8,57,96,79,42,0,6,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5,2014,01,10,2014-01-10,30.1,26.0,1017.7,2.5,7.9,15.9,999.9,39.0,23.0,0.01,5.9,0,635,41,9,42,5,1,43,2,2,157,24,32,12,61,107,56,28,2,5,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
6,2014,01,11,2014-01-11,37.0,32.1,999.8,7.2,11.5,19.0,24.1,39.9,27.0,0.86,1.2,1,654,31,19,35,8,0,37,7,1,157,31,49,6,59,117,52,24,6,6,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
7,2014,01,12,2014-01-12,32.9,24.6,1007.3,9.7,12.5,20.0,27.0,41.0,28.0,0.06,1.2,0,687,51,23,26,5,1,22,4,1,147,16,39,8,68,150,83,27,1,7,0,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0
1,2014,01,13,2014-01-13,41.3,30.0,1001.8,10.0,12.1,19.0,26.0,45.0,28.0,0.0,1.2,0,761,42,25,59,5,2,47,3,2,188,32,42,2,66,112,100,20,2,8,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
