day,year,mo,da,date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_offences,other_offense,criminal_trespass,burglary,weapons_violation,kidnapping,deceptive_practice,officer_interference,sex_offense,theft,robbery,assault,child_offense,criminal_damage,battery,narcotics,vehicle_theft,crim_sexual_assault,peace_violation,stalking,criminal_sexual_assault,liquor_violation,obscenity,gambling,prostitution,arson,homicide,intimidation,public_indecency,other_narcotics,cc_violation,human_trafficking,non_criminal1,non_criminal2,ritualism,non_criminal3,domestic_violence
5,2016,01,01,2016-01-01,23.4,16.5,1023.1,9.8,12.4,18.1,22.9,30.0,19.0,0.02,1.2,0,1177,71,8,14,7,1,236,2,58,130,24,43,133,113,229,21,28,37,3,0,11,0,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0
6,2016,01,02,2016-01-02,27.0,19.4,1019.0,10.0,9.6,15.0,22.0,32.0,19.0,0.06,1.2,0,576,41,9,33,2,1,46,1,2,131,22,32,5,77,101,29,29,6,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,01,03,2016-01-03,26.8,19.3,1018.4,10.0,11.4,17.1,28.0,32.0,21.9,0.0,1.2,0,618,39,16,24,4,1,30,0,3,148,43,39,3,81,124,29,28,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,2016,01,04,2016-01-04,26.9,18.5,1028.9,9.6,9.5,13.0,999.9,30.9,21.9,0.0,1.2,0,626,33,23,55,5,1,52,1,3,135,33,35,3,73,108,23,32,3,3,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0
2,2016,01,05,2016-01-05,25.5,17.0,1033.7,10.0,8.2,15.0,999.9,33.1,17.1,0.0,1.2,0,627,42,10,31,5,0,57,0,3,154,32,41,5,66,112,39,21,1,1,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
3,2016,01,06,2016-01-06,28.3,20.9,1026.8,10.0,7.5,11.1,999.9,36.0,17.1,0.0,1.2,0,628,52,8,35,3,0,56,1,4,146,32,48,7,77,95,34,21,2,1,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
4,2016,01,07,2016-01-07,36.0,26.4,1020.3,10.0,6.7,9.9,999.9,41.0,21.2,0.0,1.2,0,707,40,18,47,5,2,56,1,2,165,38,47,9,74,111,43,26,5,4,0,0,0,0,0,10,1,2,0,0,0,0,0,0,0,0,1,0
5,2016,01,08,2016-01-08,38.5,34.2,1012.3,6.3,6.6,11.1,999.9,42.1,34.0,0.02,1.2,0,744,47,15,46,8,2,50,3,2,161,47,46,8,98,118,48,29,2,6,1,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0
6,2016,01,09,2016-01-09,37.1,36.6,1008.3,2.6,5.2,11.1,999.9,42.1,32.0,0.18,1.2,1,650,42,12,34,4,0,36,2,6,128,39,48,7,89,125,38,25,3,2,0,0,1,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0
7,2016,01,10,2016-01-10,19.0,14.2,1012.3,8.3,15.8,21.0,28.0,39.9,6.1,0.27,1.2,0,597,53,15,35,7,0,42,3,4,118,38,31,7,55,127,29,28,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,01,11,2016-01-11,5.1,-1.6,1019.0,8.9,8.7,15.0,19.0,23.0,-0.9,0.0,1.2,0,513,32,10,33,2,0,45,0,2,118,41,35,4,42,92,16,35,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,2016,01,12,2016-01-12,14.0,7.1,1014.3,6.5,14.6,22.9,29.9,24.1,-0.9,0.12,3.1,0,548,35,21,42,3,1,43,2,5,118,21,34,4,58,82,35,37,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2016,01,13,2016-01-13,6.7,-0.8,1020.3,10.0,8.6,14.0,20.0,21.0,-2.0,0.01,2.0,0,654,51,11,50,8,0,54,0,0,141,33,32,5,76,101,35,35,4,6,1,2,1,0,0,2,1,3,1,0,0,0,0,1,0,0,0,0
